x,dense_pc1,flat_pc1,delta_pc1
0.6262626262626263,-0.12952667560432626,-0.12330465205380166,-0.08725944099455904
0.6363636363636365,-0.13772140364664215,-0.13213358586896196,-0.1053687646211429
0.6464646464646465,-0.13745440835051492,-0.13301480090859072,-0.1002331141039748
0.6565656565656566,-0.1334719330081838,-0.1301855027681279,-0.08948381842813899
0.6666666666666667,-0.13746435904478224,-0.13574045441586552,-0.08493070802830026
0.6767676767676768,-0.14369729179411034,-0.1436442395750802,-0.08772705045690232
0.686868686868687,-0.13251772265989015,-0.13358246723816022,-0.085159733502524
0.696969696969697,-0.10776822359343491,-0.10880381858388574,-0.09526899051597477
0.7070707070707072,-0.09655584457576445,-0.09757643957033509,-0.11314840355683893
0.7171717171717172,-0.10244279464584806,-0.10333993528842676,-0.12284783175077482
0.7272727272727273,-0.11067680688529381,-0.1108511648484325,-0.12729863633167157
0.7373737373737375,-0.11800219835251102,-0.11782721004327201,-0.12282966888509347
0.7474747474747475,-0.11447831357532771,-0.11451177000713328,-0.11727813968399918
0.7575757575757577,-0.09618682616004877,-0.09459754919387102,-0.1377050610493995
0.7676767676767677,-0.07819121511256112,-0.07562903619115123,-0.15102095390784961
0.7777777777777778,-0.07001566541338616,-0.06783821830821384,-0.16123369616915875
0.787878787878788,-0.06854416541480823,-0.06639289775374317,-0.17303218876755389
0.797979797979798,-0.06273696173402145,-0.05992437171030472,-0.1864827070676651
0.8080808080808082,-0.05454873551023224,-0.050913344054419746,-0.19604953660008592
0.8181818181818182,-0.050320178259236216,-0.04679711943886577,-0.18986396464934086
0.8282828282828284,-0.04147096746203358,-0.03737407506146078,-0.17909716729694805
0.8383838383838385,-0.02309203777392978,-0.018152437894842652,-0.17166245374754413
0.8484848484848485,-0.006480232823930044,-0.0012404322675394195,-0.16407374915065687
0.8585858585858587,-0.001703482234099842,0.002183106470879715,-0.1549947298863225
0.8686868686868687,-0.00786993966577744,-0.006076589216297135,-0.12310672889440476
0.8787878787878789,-0.007721815563537601,-0.006618796798675272,-0.09779355293555644
0.888888888888889,-0.004892907905065841,-0.0031989781980335825,-0.08546778113279425
0.8989898989898991,-0.0003653601684226971,0.0013826688078252014,-0.06762575076403499
0.9090909090909092,0.0014191284980924542,0.003562712346714882,-0.049303137818093166
0.9191919191919192,0.008039963369311173,0.010793420988607532,-0.030742195870325128
0.9292929292929294,0.02625573735245063,0.028697243515884704,-8.542647111002151e-05
0.9393939393939394,0.0518649237364336,0.053468223558737225,0.03420983645794881
0.9494949494949496,0.07347743261693139,0.07414803373064542,0.07225642651253032
0.9595959595959597,0.08704408867129622,0.08578893146208184,0.11534996820865667
0.9696969696969697,0.0975066478096965,0.09354879832564522,0.15766132772607747
0.9797979797979799,0.10366463414838968,0.09354039303706932,0.2168114505446693
0.98989898989899,0.09159917626240323,0.07420893057992992,0.2778827871149241
1.0,0.07442534206179327,0.050122241484699716,0.3348716834836877
